UserID,First Name,Last Name,Email,Country,City,Age,Gender,Marital Status,Education,Employment Status,Industry,Years of Experience,Annual Salary (USD),Device Used,Platform,Internet Usage Level,Preferred Language,Signed Up From,Date Joined,Last Active Date,Purchased,Subscription Type,Account Verified,Credit Score,Referral Used,Number of Logins,Cart Abandonment Rate (%),Loyalty Score,Customer Segment
U100000,Andrew,Goodwin,gschwartz@example.org,UK,Lake Lindaland,56.0,Female,Married,Master,Unemployed,Retail,32.0,132526.0,Mobile,Linux,Heavy,Mandarin,Email,2024-10-29,2025-06-24,Yes,Free,Yes,391.0,No,7.0,42.59,1.0,Budget
U100001,Bobby,Morales,thomasthomas@example.org,USA,Hartside,69.0,Female,Divorced,PhD,Self-Employed,IT,6.0,183906.0,Desktop,Android,Light,Arabic,Referral,2020-12-04,2025-06-16,Yes,Enterprise,No,376.0,Yes,22.0,29.74,8.0,Budget
U100002,Brandon,Thomas,cburns@example.net,India,East Marcia,46.0,Male,Single,Diploma,Unemployed,IT,27.0,113793.0,Tablet,Android,Heavy,Portuguese,Ad Campaign,2021-06-27,2025-06-07,Yes,Free,Yes,551.0,No,24.0,99.45,7.0,Premium
U100004,Candice,Love,michaelramsey@example.net,Japan,North Raymondside,60.0,Non-Binary,Married,PhD,Student,Retail,38.0,185214.0,Desktop,Windows,Moderate,Hindi,Ad Campaign,2021-02-22,2025-06-05,Yes,Basic,Yes,353.0,Yes,360.0,42.22,7.0,Budget
U100007,Benjamin,Lopez,brentmiller@example.org,Germany,Simonfort,56.0,Male,Married,Diploma,Student,Healthcare,18.0,137500.0,Desktop,Linux,Moderate,English,Direct,2023-03-21,2025-06-23,No,Basic,Yes,440.0,Yes,150.0,71.16,3.0,Budget
U100013,Danny,Whitehead,michellejohnson@example.net,Australia,Lake Julieland,53.0,Female,Married,Master,Student,Education,18.0,141040.0,Tablet,macOS,Moderate,Portuguese,Email,2023-10-24,2025-06-14,No,Premium,Yes,457.0,No,131.0,97.71,8.0,Budget
U100014,Jeffery,Anderson,timothy88@example.com,USA,Rachelstad,57.0,Male,Divorced,Bachelor,Student,Manufacturing,0.0,125441.0,Desktop,Windows,Heavy,Spanish,Direct,2022-06-02,2025-06-05,No,Enterprise,No,775.0,No,367.0,75.31,8.0,Budget
U100020,Lonnie,Thompson,taramorris@example.com,France,West Lucashaven,61.0,Non-Binary,Married,High School,Employed,Manufacturing,11.0,119152.0,Desktop,iOS,Moderate,English,Direct,2024-07-28,2025-05-29,Yes,Basic,No,781.0,No,328.0,20.25,3.0,Mid-tier
U100021,Tammy,Mckay,swansonkevin@example.org,France,Angelaland,47.0,Male,Divorced,High School,Student,IT,8.0,120960.0,Desktop,Windows,Heavy,English,Email,2022-11-12,2025-06-17,No,Enterprise,Yes,436.0,Yes,125.0,77.03,5.0,Budget
U100032,Victoria,Walters,dean55@example.org,France,Michaelburgh,59.0,Non-Binary,Single,High School,Student,Healthcare,9.0,184096.0,Mobile,Linux,Moderate,Spanish,Email,2024-11-12,2025-06-25,No,Free,No,752.0,No,256.0,34.06,1.0,Mid-tier
U100036,James,Perez,donaldsonjeanette@example.net,Egypt,North Justin,64.0,Non-Binary,Divorced,PhD,Student,Manufacturing,10.0,142652.0,Tablet,Android,Moderate,Hindi,Direct,2024-12-20,2025-06-11,Yes,Free,No,727.0,No,147.0,20.41,5.0,Budget
U100037,Eric,Graham,housecourtney@example.net,China,Reginachester,68.0,Non-Binary,Divorced,Bachelor,Student,Finance,19.0,155204.0,Desktop,Android,Moderate,English,Social Media,2024-04-03,2025-06-11,No,Enterprise,Yes,316.0,Yes,15.0,25.18,4.0,Budget
U100039,Tamara,Davila,jamiejones@example.net,Egypt,Timothychester,69.0,Female,Married,PhD,Student,IT,8.0,118651.0,Mobile,iOS,Heavy,French,Ad Campaign,2022-11-27,2025-06-21,No,Enterprise,No,483.0,Yes,448.0,46.54,4.0,Mid-tier
U100041,Sonya,Hill,tgarcia@example.net,Germany,South Oliviaport,54.0,Male,Single,Bachelor,Student,Finance,14.0,192421.0,Mobile,Linux,Heavy,Arabic,Referral,2022-06-27,2025-06-23,Yes,Premium,No,582.0,No,177.0,88.84,9.0,Budget
U100062,Kenneth,Morgan,christopheribarra@example.net,Nigeria,Sandrachester,52.0,Non-Binary,Widowed,Diploma,Student,Healthcare,14.0,153973.0,Desktop,iOS,Heavy,Hindi,Ad Campaign,2021-06-03,2025-06-02,Yes,Enterprise,No,648.0,Yes,372.0,27.64,2.0,Mid-tier
U100065,Amber,Marks,nicholsjohn@example.net,Russia,Rebeccahaven,53.0,Male,Married,PhD,Employed,Healthcare,23.0,135804.0,Mobile,iOS,Light,French,Email,2024-05-15,2025-05-30,Yes,Free,No,685.0,No,343.0,67.49,6.0,Budget
U100066,Jessica,Morgan,conwaycynthia@example.com,Canada,West Tracy,67.0,Female,Widowed,PhD,Employed,Healthcare,27.0,177883.0,Mobile,Linux,Moderate,Arabic,Direct,2024-07-19,2025-05-31,No,Enterprise,No,804.0,Yes,257.0,40.12,3.0,Mid-tier
U100067,Stephanie,Burnett,raymondguzman@example.org,USA,Robertside,57.0,Non-Binary,Single,Bachelor,Self-Employed,IT,0.0,113538.0,Mobile,Android,Light,Arabic,Email,2021-04-29,2025-06-27,No,Enterprise,Yes,715.0,Yes,408.0,18.27,6.0,Premium
U100076,Renee,Walker,rrubio@example.net,South Korea,East Christianburgh,61.0,Non-Binary,Married,Bachelor,Unemployed,Retail,9.0,172923.0,Mobile,macOS,Heavy,Arabic,Social Media,2023-05-27,2025-06-06,Yes,Free,No,535.0,Yes,85.0,70.68,9.0,Budget
U100082,Samantha,Clark,scarrillo@example.net,France,West Benjaminborough,65.0,Female,Divorced,PhD,Employed,Logistics,4.0,180177.0,Desktop,Linux,Light,Portuguese,Direct,2025-04-01,2025-06-23,No,Enterprise,No,614.0,No,120.0,2.1,7.0,Premium
U100087,Michael,White,maymelissa@example.org,France,Stephanieview,57.0,Male,Divorced,PhD,Self-Employed,Healthcare,0.0,105654.0,Tablet,Linux,Light,Hindi,Email,2020-10-09,2025-06-16,Yes,Free,No,384.0,No,362.0,79.47,5.0,Budget
U100090,Edward,Ross,bmatthews@example.com,Canada,West Christopher,62.0,Male,Divorced,Diploma,Student,Logistics,18.0,139149.0,Desktop,Linux,Light,Arabic,Referral,2025-02-21,2025-06-11,Yes,Free,No,447.0,No,249.0,3.8,1.0,Budget
U100092,Dean,Ball,bradleyjillian@example.com,Nigeria,Port Michellechester,64.0,Male,Married,Master,Student,Retail,18.0,182454.0,Tablet,Linux,Heavy,French,Ad Campaign,2022-08-23,2025-06-18,No,Premium,Yes,517.0,Yes,108.0,55.67,2.0,Budget
U100097,Jason,Lowery,shawn13@example.org,Brazil,Danielburgh,58.0,Male,Married,PhD,Student,Education,11.0,165738.0,Mobile,Linux,Heavy,French,Referral,2022-06-22,2025-06-03,No,Premium,Yes,488.0,No,444.0,38.99,5.0,Premium
U100107,Deborah,Lane,gramirez@example.com,South Korea,Jamesville,61.0,Male,Single,High School,Employed,Finance,23.0,102765.0,Desktop,iOS,Heavy,Arabic,Email,2023-01-28,2025-06-18,Yes,Premium,No,761.0,No,490.0,40.65,8.0,Budget
