UserID,First Name,Last Name,Email,Country,City,Age,Gender,Marital Status,Education,Employment Status,Industry,Years of Experience,Annual Salary (USD),Device Used,Platform,Internet Usage Level,Preferred Language,Signed Up From,Date Joined,Last Active Date,Purchased,Subscription Type,Account Verified,Credit Score,Referral Used,Number of Logins,Cart Abandonment Rate (%),Loyalty Score,Customer Segment
U100001,Bobby,Morales,thomasthomas@example.org,USA,Hartside,69.0,Female,Divorced,PhD,Self-Employed,IT,6.0,183906.0,Desktop,Android,Light,Arabic,Referral,2020-12-04,2025-06-16,Yes,Enterprise,No,376.0,Yes,22.0,29.74,8.0,Budget
U100004,Candice,Love,michaelramsey@example.net,Japan,North Raymondside,60.0,Non-Binary,Married,PhD,Student,Retail,38.0,185214.0,Desktop,Windows,Moderate,Hindi,Ad Campaign,2021-02-22,2025-06-05,Yes,Basic,Yes,353.0,Yes,360.0,42.22,7.0,Budget
U100032,Victoria,Walters,dean55@example.org,France,Michaelburgh,59.0,Non-Binary,Single,High School,Student,Healthcare,9.0,184096.0,Mobile,Linux,Moderate,Spanish,Email,2024-11-12,2025-06-25,No,Free,No,752.0,No,256.0,34.06,1.0,Mid-tier
U100041,Sonya,Hill,tgarcia@example.net,Germany,South Oliviaport,54.0,Male,Single,Bachelor,Student,Finance,14.0,192421.0,Mobile,Linux,Heavy,Arabic,Referral,2022-06-27,2025-06-23,Yes,Premium,No,582.0,No,177.0,88.84,9.0,Budget
U100056,Ashley,Hampton,joannebaker@example.com,Brazil,North Patrick,45.0,Non-Binary,Single,PhD,Self-Employed,Healthcare,5.0,194747.0,Tablet,macOS,Heavy,Spanish,Ad Campaign,2022-09-07,2025-06-11,Yes,Enterprise,Yes,395.0,No,448.0,92.85,6.0,Mid-tier
U100058,Dustin,Pugh,andrewjordan@example.org,Japan,Christinaburgh,24.0,Male,Widowed,Master,Student,IT,20.0,190205.0,Tablet,macOS,Heavy,Arabic,Referral,2021-01-17,2025-06-09,Yes,Premium,No,547.0,No,473.0,74.88,9.0,Mid-tier
U100075,Veronica,Ellis,abailey@example.org,Brazil,North Kimberly,43.0,Non-Binary,Widowed,Bachelor,Unemployed,Retail,24.0,189642.0,Tablet,Android,Moderate,French,Direct,2024-12-31,2025-06-22,No,Enterprise,Yes,802.0,No,337.0,90.06,8.0,Budget
U100082,Samantha,Clark,scarrillo@example.net,France,West Benjaminborough,65.0,Female,Divorced,PhD,Employed,Logistics,4.0,180177.0,Desktop,Linux,Light,Portuguese,Direct,2025-04-01,2025-06-23,No,Enterprise,No,614.0,No,120.0,2.1,7.0,Premium
U100088,Lawrence,Greene,usmith@example.com,China,New Darinshire,38.0,Male,Divorced,High School,Employed,Manufacturing,35.0,190599.0,Mobile,iOS,Light,Portuguese,Direct,2022-03-05,2025-06-23,Yes,Basic,No,349.0,Yes,216.0,98.48,5.0,Budget
U100092,Dean,Ball,bradleyjillian@example.com,Nigeria,Port Michellechester,64.0,Male,Married,Master,Student,Retail,18.0,182454.0,Tablet,Linux,Heavy,French,Ad Campaign,2022-08-23,2025-06-18,No,Premium,Yes,517.0,Yes,108.0,55.67,2.0,Budget
U100101,Crystal,Rivera,gonzalezmaria@example.net,Japan,Curtismouth,18.0,Female,Single,Bachelor,Unemployed,Logistics,33.0,193359.0,Tablet,macOS,Light,English,Direct,2025-04-09,2025-06-25,Yes,Basic,No,823.0,Yes,148.0,24.73,7.0,Mid-tier
U100117,Terry,Ruiz,mcculloughpenny@example.com,Russia,Port Alison,22.0,Non-Binary,Married,Master,Employed,Education,23.0,197713.0,Desktop,iOS,Light,Mandarin,Direct,2024-08-04,2025-06-06,Yes,Free,Yes,635.0,No,377.0,30.6,4.0,Mid-tier
U100127,Emily,Owen,leenathan@example.net,India,Mariehaven,50.0,Male,Widowed,Bachelor,Employed,IT,5.0,188402.0,Mobile,Linux,Moderate,English,Direct,2023-10-31,2025-06-07,Yes,Enterprise,Yes,300.0,Yes,394.0,44.22,6.0,Premium
U100130,Timothy,French,heidi30@example.com,India,West Melissa,41.0,Female,Single,High School,Employed,Education,11.0,195199.0,Tablet,Android,Heavy,Portuguese,Direct,2022-09-26,2025-06-13,Yes,Premium,Yes,541.0,Yes,52.0,9.95,7.0,Mid-tier
U100153,Tina,Harper,kthomas@example.org,France,Houstonshire,43.0,Female,Widowed,Diploma,Employed,Healthcare,2.0,194311.0,Tablet,Windows,Moderate,Mandarin,Email,2022-10-06,2025-06-12,No,Enterprise,Yes,810.0,No,464.0,63.31,4.0,Premium
U100155,Debra,Chavez,reginaldlittle@example.com,Australia,Christianhaven,30.0,Non-Binary,Single,Bachelor,Student,Logistics,26.0,189851.0,Tablet,Windows,Heavy,French,Email,2025-06-03,2025-06-12,Yes,Free,Yes,308.0,Yes,41.0,98.94,4.0,Budget
U100158,Scott,Walsh,littlecindy@example.org,Mexico,Sarahbury,56.0,Female,Widowed,Bachelor,Employed,Healthcare,21.0,190824.0,Mobile,Windows,Heavy,Spanish,Ad Campaign,2022-11-20,2025-06-26,No,Premium,Yes,524.0,No,138.0,84.05,3.0,Mid-tier
U100199,Alex,Roberts,danielbaker@example.com,Egypt,Campbellfurt,56.0,Male,Divorced,High School,Employed,Retail,33.0,192762.0,Mobile,Windows,Moderate,Hindi,Email,2021-03-17,2025-06-12,Yes,Free,Yes,522.0,Yes,289.0,87.96,1.0,Mid-tier
U100207,Charles,Livingston,penningtonlawrence@example.net,India,South Ericfort,59.0,Non-Binary,Widowed,Bachelor,Unemployed,Finance,4.0,180915.0,Desktop,iOS,Moderate,Mandarin,Social Media,2022-04-08,2025-06-18,No,Premium,No,566.0,No,23.0,13.12,2.0,Mid-tier
U100208,Mackenzie,Weeks,dthomas@example.org,Mexico,North Elaine,61.0,Male,Single,PhD,Self-Employed,IT,1.0,196536.0,Desktop,macOS,Heavy,Arabic,Direct,2020-11-19,2025-06-09,No,Premium,Yes,365.0,Yes,7.0,44.87,9.0,Premium
U100213,Christina,Chavez,bethany42@example.net,Egypt,New Cynthiashire,41.0,Male,Married,Bachelor,Self-Employed,IT,29.0,193924.0,Tablet,Android,Moderate,Arabic,Referral,2021-06-14,2025-06-22,No,Free,No,586.0,Yes,232.0,4.26,8.0,Mid-tier
U100215,Sydney,Webb,thompsonjesse@example.org,Australia,Lake Anna,69.0,Non-Binary,Widowed,Diploma,Unemployed,Education,38.0,193563.0,Tablet,Android,Heavy,Mandarin,Referral,2021-06-29,2025-05-29,Yes,Enterprise,No,717.0,Yes,462.0,62.72,6.0,Mid-tier
U100225,John,Davis,deborahdavidson@example.com,France,West Kyleside,66.0,Non-Binary,Widowed,High School,Employed,Retail,4.0,198943.0,Desktop,Android,Light,Mandarin,Referral,2023-01-03,2025-06-08,Yes,Enterprise,Yes,737.0,Yes,357.0,46.96,4.0,Premium
U100230,Jessica,Harris,bergerangelica@example.org,Australia,New Allen,45.0,Non-Binary,Married,PhD,Unemployed,Healthcare,29.0,192303.0,Mobile,Linux,Moderate,English,Email,2021-05-16,2025-06-02,No,Basic,Yes,412.0,No,139.0,12.11,3.0,Premium
U100248,Cheyenne,Huffman,kevin66@example.org,India,New Makayla,22.0,Female,Single,Bachelor,Employed,Logistics,5.0,189185.0,Desktop,Android,Moderate,English,Referral,2020-08-17,2025-06-11,No,Free,No,756.0,Yes,294.0,54.17,7.0,Budget
U100250,Glenda,Hawkins,bzhang@example.com,Russia,Lake Jessica,51.0,Male,Divorced,PhD,Student,Healthcare,25.0,184159.0,Desktop,iOS,Heavy,English,Social Media,2024-08-09,2025-06-13,Yes,Premium,Yes,684.0,No,173.0,40.29,5.0,Budget
U100259,Miranda,Patrick,heathdavid@example.net,Australia,Ashleybury,33.0,Male,Married,Bachelor,Self-Employed,Manufacturing,19.0,192075.0,Mobile,iOS,Heavy,Spanish,Ad Campaign,2023-06-17,2025-06-13,Yes,Premium,No,707.0,No,311.0,64.42,2.0,Premium
U100272,Tanya,Rice,seanpeterson@example.com,France,Jacksonfort,58.0,Male,Married,Diploma,Employed,Education,33.0,193543.0,Mobile,macOS,Moderate,French,Social Media,2023-12-21,2025-06-10,No,Enterprise,No,619.0,No,263.0,24.57,2.0,Budget
U100273,Sarah,Stephens,jessefreeman@example.net,Russia,Randallchester,50.0,Non-Binary,Widowed,Bachelor,Employed,Logistics,37.0,193976.0,Desktop,Android,Light,Spanish,Ad Campaign,2023-05-10,2025-06-12,Yes,Enterprise,No,849.0,No,75.0,85.7,2.0,Premium
U100279,Holly,Russo,kimberly17@example.com,Mexico,East Rachelhaven,28.0,Non-Binary,Widowed,Diploma,Unemployed,Retail,13.0,192390.0,Desktop,macOS,Heavy,Spanish,Social Media,2022-06-09,2025-06-15,Yes,Free,No,341.0,Yes,259.0,94.96,7.0,Budget
U100282,Elizabeth,Fox,patricia95@example.org,UK,Millerville,67.0,Female,Single,Master,Unemployed,Healthcare,14.0,199402.0,Desktop,iOS,Heavy,Portuguese,Social Media,2021-01-27,2025-06-06,No,Premium,Yes,579.0,Yes,117.0,22.29,1.0,Mid-tier
U100293,Garrett,Acevedo,laurabrown@example.org,Brazil,South Alexander,66.0,Non-Binary,Single,High School,Employed,Healthcare,12.0,182891.0,Desktop,Android,Moderate,Portuguese,Ad Campaign,2021-03-09,2025-06-12,No,Premium,No,512.0,No,61.0,93.37,1.0,Mid-tier
U100299,Jesse,Gilbert,alicemurray@example.org,France,East Darrylland,54.0,Non-Binary,Divorced,Master,Unemployed,Education,27.0,183824.0,Desktop,Android,Light,Arabic,Direct,2023-03-05,2025-06-24,No,Basic,Yes,806.0,Yes,241.0,92.67,7.0,Budget
U100326,Sara,Mendez,chelseaboone@example.org,France,Jacksonmouth,35.0,Non-Binary,Single,Master,Student,Healthcare,16.0,184193.0,Desktop,iOS,Light,Spanish,Social Media,2022-11-27,2025-06-17,No,Basic,Yes,711.0,Yes,150.0,31.02,3.0,Premium
U100335,Ryan,Ochoa,michaelhicks@example.com,Canada,Bergerton,21.0,Male,Divorced,Diploma,Unemployed,Retail,29.0,189547.0,Mobile,macOS,Heavy,English,Direct,2024-04-15,2025-06-27,No,Basic,Yes,729.0,No,460.0,32.56,5.0,Premium
U100347,Ariana,Glenn,wilkersonnicole@example.net,India,Lake Anthony,29.0,Female,Married,Master,Unemployed,Education,25.0,190775.0,Tablet,Linux,Moderate,French,Referral,2023-05-20,2025-06-22,Yes,Free,Yes,524.0,Yes,146.0,63.1,3.0,Budget
U100365,Anthony,Washington,glenndale@example.com,China,Hansenmouth,64.0,Non-Binary,Widowed,High School,Unemployed,Manufacturing,35.0,196288.0,Desktop,Android,Light,Hindi,Email,2023-05-21,2025-06-08,No,Enterprise,No,342.0,Yes,487.0,49.95,9.0,Premium
U100380,April,Nash,timford@example.com,Russia,Muellerport,52.0,Non-Binary,Married,PhD,Unemployed,Finance,13.0,181099.0,Tablet,macOS,Heavy,Mandarin,Direct,2021-07-29,2025-06-12,Yes,Premium,Yes,324.0,No,363.0,19.68,1.0,Mid-tier
U100401,Jacqueline,Barker,andreamckenzie@example.net,Nigeria,Higginsborough,57.0,Non-Binary,Single,Diploma,Student,Manufacturing,28.0,198158.0,Tablet,Android,Heavy,Arabic,Referral,2023-01-27,2025-06-11,No,Basic,No,338.0,No,357.0,59.47,9.0,Premium
